"시점",아시아,한국,이스라엘,일본,터키,북아메리카,캐나다,멕시코,미국,남아메리카,칠레,콜롬비아,코스타리카,유럽,오스트리아,벨기에,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,아이슬란드,아일랜드,이탈리아,라트비아,리히텐슈타인,리투아니아,룩셈부르크,네덜란드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,영국,오세아니아,오스트레일리아,뉴질랜드
"1960",,79,1229,475,509,,2259,345,3007,,505,251,381,,935,1274,-,-,-,1179,1335,-,520,-,1415,686,804,-,-,-,2242,1069,1442,-,360,-,-,396,2114,1787,1398,,1808,2313
"1961",,84,1436,569,284,,2240,363,3067,,555,274,355,,1032,1350,-,-,-,1327,1428,-,591,-,1418,739,887,-,-,-,2222,1159,1560,-,383,-,-,450,2289,1971,1472,,1875,2343
"1962",,90,1095,640,309,,2269,378,3244,,639,290,334,,1088,1439,-,-,-,1412,1578,-,617,-,1562,797,990,-,-,-,2312,1241,1667,-,408,-,-,520,2469,2131,1526,,1852,2449
"1963",,103,1258,725,351,,2374,409,3375,,655,274,344,,1167,1535,-,-,-,1522,1745,-,695,-,1832,852,1126,-,-,-,2441,1328,1776,-,433,-,-,609,2657,2294,1613,,1964,2622
"1964",,106,1376,844,370,,2555,469,3574,,678,329,352,,1269,1702,-,-,-,1708,1910,-,784,-,2298,965,1223,-,-,-,2756,1542,1938,-,469,-,-,675,2941,2501,1748,,2128,2814
"1965",,108,1429,929,386,,2770,495,3828,,670,308,372,,1375,1836,-,-,-,1882,2038,-,899,-,2724,1024,1304,-,-,-,2780,1708,2164,-,521,-,-,775,3206,2620,1874,,2278,2151
"1966",,128,1514,1069,445,,3047,534,4146,,773,282,393,,1487,1958,-,2487,-,2010,2186,-,997,-,3216,1075,1402,-,-,-,2900,1836,2317,-,575,-,-,890,3454,2785,1987,,2340,2191
"1967",,145,1468,1239,482,,3217,566,4336,,753,294,412,,1570,2087,-,2701,-,2034,2343,-,1068,-,3126,1152,1534,-,-,-,2910,1991,2514,-,647,-,-,968,3721,2961,2059,,2576,2188
"1968",,174,1648,1451,526,,3463,606,4696,,757,292,443,,1678,2222,-,2776,-,1907,2536,-,1154,-,2354,1125,1652,-,-,-,3175,2185,2662,-,719,-,-,951,3926,3122,1952,,2720,1885
"1969",,216,1852,1685,572,,3764,650,5032,,870,308,475,,1825,2458,-,3151,-,2178,2752,-,1324,-,2039,1291,1813,-,-,-,3659,2643,2875,-,796,-,-,1078,4234,3345,2101,,2987,2078
